quelle,typ,ziel,ziel_vorhanden
09492564X,Fortsetzung,094909199,True
094975655,Verweis,09497778X,True
094975655,Verweis,094977771,True
094930368,Fortsetzung,094909199,True
094930368,Fortsetzung,094903492,True
094903492,Fortsetzung,094909199,True
094903492,Hauptteil,094930368,True
094899533,Verweis,09491768X,True
094899533,Verweis,094920257,True
094899533,Verweis,094927871,True
094899533,Verweis,094900493,True
094899533,Verweis,094927596,True
094899533,Verweis,094899363,True
094899533,Verweis,094907951,True
094899533,Verweis,094929653,True
094899533,Verweis,094926840,True
094899533,Verweis,094929629,True
094964734,Verweis,094957207,True
094964734,Verweis,094975396,True
094930678,Verweis,094927979,True
094930678,Verweis,094897425,True
094930678,Verweis,094919992,True
094930678,Verweis,09492791X,True
094925062,Verweis,09495805X,True
094957207,Verweis,094964734,True
094927979,Verweis,094930678,True
094956987,Verweis,094959137,True
094909199,Hauptteil,094915067,True
094909199,Hauptteil,09492564X,True
094909199,Hauptteil,094930368,True
094909199,Hauptteil,094903492,True
094909199,Hauptteil,094921172,True
094897425,Verweis,094930678,True
09497778X,Verweis,094971242,True
09497778X,Verweis,094975655,True
09497778X,Verweis,094977771,True
094975396,Verweis,094964734,True
094977771,Verweis,094971242,True
094977771,Verweis,094975655,True
094977771,Verweis,09497778X,True
094919992,Verweis,094930678,True
094975361,Verweis,094974489,True
094975361,Verweis,094898642,True
094959137,Verweis,094956987,True
09492791X,Verweis,094930678,True
09491768X,Verweis,094899533,True
094920257,Verweis,094899533,True
094927871,Verweis,094899533,True
094933510,Verweis,094954399,True
094974985,Verweis,094950458,True
094977763,Verweis,094927081,True
094975205,Verweis,094904014,True
094975191,Auszug,094975264,True
094975191,Verweis,094975264,True
09494072X,Auszug,NEU-09494072X-20,True
09494072X,Verweis,094957878,True
094940908,Verweis,094905916,True
094940908,Verweis,094940738,True
094915113,Auszug,094927553,True
094954585,Auszug,NEU-094954585-21,True
094954585,Verweis,094958092,True
094900493,Verweis,094899533,True
094930511,Verweis,094969337,True
094930511,Verweis,09492788X,True
094930511,Verweis,094974608,True
094929246,Auszug,NEU-094929246-22,True
094927731,Auszug,094923469,True
094927731,Verweis,094923469,True
09495920X,Verweis,094957886,True
09495920X,Verweis,094958572,True
09495920X,Verweis,094961999,True
09495920X,Verweis,094974519,True
094950059,Auszug,NEU-094950059-23,True
094950059,Verweis,094960941,True
094953945,Auszug,NEU-094953945-24,True
094953945,Verweis,094937796,True
094927596,Verweis,094899533,True
09497442X,Auszug,094975213,True
09497442X,Verweis,094975213,True
094899363,Verweis,094899533,True
094963630,Fortsetzung,094955042,True
094932085,Auszug,094953740,True
094962677,Auszug,094974616,True
094951616,Verweis,094954348,True
094951616,Verweis,094930589,True
094961778,Verweis,094974365,True
094961778,Verweis,094916209,True
094974179,Auszug,094932107,True
094974179,Verweis,094932107,True
094954089,Auszug,NEU-094954089-25,True
094974489,Verweis,094975361,True
094959463,Auszug,094965676,True
094959463,Verweis,094965676,True
094905053,Verweis,09490362X,True
094905053,Verweis,094902666,True
094928940,Verweis,094966370,True
094952078,Verweis,094974004,True
094974284,Auszug,094974322,True
094974284,Verweis,094974322,True
094953384,Verweis,094953589,True
09495710X,Verweis,094973989,True
094946523,Verweis,094927464,True
094974101,Verweis,094973997,True
094974101,Verweis,094970572,True
094974101,Verweis,094916993,True
09494038X,Auszug,NEU-09494038X-26,True
09494038X,Verweis,094974071,True
094973997,Verweis,094974101,True
