id,ist_ppn,titel,autor,autor_key,autor_original,jahr,jahr_quelle,reihe,band,band_key,startseite,endseite,abbilder,tafeln,tabellen,figuren,link
094926727,True,Annotatio de Luce quam quidam Auroram Borealem vocant,"Leibniz, Gottfried Wilhelm Freiherr von",leibniz-gottfried-wilhelm-freiherr-von,"Leibniz, Gottfried Wilhelm Freiherr von",1710,csv,01-misc,1,01-misc/1,137,138,,0,0,False,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000161
094957002,True,Recensio Itineris Alpini loan. lacobi Scheuchzeri,"Spener, Christian Maximilian",spener-christian-maximilian,"Spener, Christian Maximilian",1710,csv,01-misc,1,01-misc/1,139,143,mit 1 Tafel,1,0,False,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000163
094970998,True,"Excerpta ex observationibus meteorologicis perpetuis anni 1708, a J. J. Scheuchzero Tiguri habitis","Scheuchzer, Johann Jakob",scheuchzer-johann-jakob,"Scheuchzer, Johann Jakob",1710,csv,01-misc,1,01-misc/1,144,149,,0,0,False,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000168
09496193X,True,De modo quodam peculiari condendi cadavera et picturas conservandi,,,Ohne Angabe Des Verfassers,1710,csv,01-misc,1,01-misc/1,149,152,,0,0,False,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000173
094923582,True,"Symbolismus memorabilis calculi Algebraici et Infinitesimalis, in comparatione potentiarum et differentiarum; et de Lege Homogeneorum Transcendentali","Leibniz, Gottfried Wilhelm Freiherr von",leibniz-gottfried-wilhelm-freiherr-von,"Leibniz, Gottfried Wilhelm Freiherr von",1710,csv,01-misc,1,01-misc/1,160,165,,0,0,False,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000184
094966095,True,"Regulae, qua inveniuntur omnes cujuslibetcunque producti Algebraici divisores, dummodo in nullo divisore terminus sit incommensurabilis, brevis praelibatio","Naude, Philipp der jüngere",naude-philipp-der-jungere,"Naude, Philipp der jüngere",1710,csv,01-misc,1,01-misc/1,166,170,mit 1 Tafel,1,0,False,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000190
094968055,True,Constructio Problematis ducendi rectas quae tangunt Lineas Centrorum Gravitatis,"Leibniz, Gottfried Wilhelm Freiherr von",leibniz-gottfried-wilhelm-freiherr-von,"Leibniz, Gottfried Wilhelm Freiherr von",1710,csv,01-misc,1,01-misc/1,170,173,,0,0,False,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000194
094924708,True,"Inventa de Appropinquationibus promtis ad metiendas figuras per Motus Repentis considerationem exhibitis. - Ex Epistola ad G. G. Leibnitium, Basilea 15. Januar. 1707","Bernoulli, Johann",bernoulli-johann,"Bernoulli, Johann",1710,csv,01-misc,1,01-misc/1,173,185,mit 1 Tafel,1,0,False,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000197
09489938X,True,"Demonstratio, quod manente eadem Elevatione Mortarii, jactus sint viribus proportionales",,,Ohne Angabe Des Verfassers,1710,csv,01-misc,1,01-misc/1,186,187,,0,0,False,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000210
09495674X,True,"Epistola ad Praesidem, de Aquarum fluentium mensura, qua respondet Epistolae Dionysii Papini ad Hugenium","Guglielmini, Domenico",guglielmini-domenico,"Guglielmini, Domenico",1710,csv,01-misc,1,01-misc/1,188,196,,0,0,False,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000212
