autor_key,autor,jahr_von,jahr_bis,rang,score,gnd,gnd_name,geburt,tod,akademiemitglied,berufe,affiliation,lobid
schutt-franz,"Schütt, Franz",1892,1892,2,0.745,1225893135,"Schütt, Franz",1874.0,1962.0,False,Maler; Grafiker,Königliche Akademie für Kunst und Kunstgewerbe (Breslau),https://lobid.org/gnd/1225893135
schwartze-moritz-gotthilf,"Schwartze, Moritz Gotthilf",1848,1848,1,0.65,117653470,"Schwartze, Moritz Gotthilf",1802.0,1848.0,False,Orientalist,,https://lobid.org/gnd/117653470
sieben-georg,"Sieben, Georg",1889,1889,1,0.65,1054315248,"Sieben, Georg",1855.0,,False,,,https://lobid.org/gnd/1054315248
brandt-karl,"Brandt, Karl",1881,1881,1,0.825,116406151,"Brandt, Karl",1854.0,1931.0,False,Meeresbiologe; Zoologe,Albertus-Universität zu Königsberg i. Pr.; Christian-Albrechts-Universität zu Kiel. Zoologisches Institut; Kaiserliche Marine-Akademie und Schule,https://lobid.org/gnd/116406151
brandt-karl,"Brandt, Karl",1881,1881,2,0.75,131431188,"Brandt, Carl August",1834.0,,False,Arzt,,https://lobid.org/gnd/131431188
brandt-karl,"Brandt, Karl",1881,1881,3,0.75,101443706,"Brandt, Carl J.",1817.0,1889.0,False,Philologe,,https://lobid.org/gnd/101443706
brinkmann-august,"Brinkmann, August",1894,1894,1,0.75,116519908,"Brinkmann, August",1863.0,1923.0,False,Philologe; Klassischer Philologe; Archäologe,Rheinische Friedrich-Wilhelms-Universität Bonn,https://lobid.org/gnd/116519908
brinkmann-august,"Brinkmann, August",1894,1894,2,0.65,189465727,"Brinkmann, August",1846.0,1924.0,False,Kaufmann; Unternehmer,,https://lobid.org/gnd/189465727
brinkmann-august,"Brinkmann, August",1894,1894,3,0.65,1331077354,"Brinkmann, August",1828.0,1897.0,False,,,https://lobid.org/gnd/1331077354
brock-johannes,"Brock, Johannes",1886,1886,1,0.825,1243844272,"Brock, Johannes Georg",1852.0,1889.0,False,Zoologe; Anatom,Kaiserlich Leopoldinisch-Carolinische Deutsche Akademie der Naturforscher,https://lobid.org/gnd/1243844272
brock-johannes,"Brock, Johannes",1886,1886,2,0.825,116526424,"Brock, Johann",1852.0,1889.0,False,Zoologe,Kaiserlich Leopoldinisch-Carolinische Deutsche Akademie der Naturforscher,https://lobid.org/gnd/116526424
bruckner-alexander,"Brückner, Alexander",1890,1890,1,0.75,118903039,"Brückner, Alexander",1834.0,1896.0,False,Historiker; Hochschullehrer,Universität Dorpat,https://lobid.org/gnd/118903039
bruckner-alexander,"Brückner, Alexander",1890,1890,2,0.75,118515861,"Brückner, Aleksander",1856.0,1939.0,False,Philologe; Slawist; Hochschullehrer; Historiker,,https://lobid.org/gnd/118515861
kiessling-johannes,"Kiessling, Johannes",1886,1886,1,0.65,102478597,"Kießling, Johannes",1839.0,1905.0,False,Lehrer,Königliches Joachimsthalsches Gymnasium; Gelehrtenschule des Johanneums,https://lobid.org/gnd/102478597
hagen-otto,"Hagen, Otto",1858,1858,1,0.75,117642592,"Hagen, Otto Albert",1835.0,1862.0,False,Physiker,,https://lobid.org/gnd/117642592
hagen-otto,"Hagen, Otto",1858,1858,2,0.65,101440316,"Hagen, Otto von",1817.0,1880.0,False,Förster,,https://lobid.org/gnd/101440316
hagen-otto,"Hagen, Otto",1858,1858,3,0.195,1034748335,"Hagen, Otto von dem",1846.0,1927.0,False,Maler,,https://lobid.org/gnd/1034748335
steinen-karl,"Steinen, Karl",1888,1888,1,0.825,117251992,"Steinen, Karl von den",1855.0,1929.0,False,Ethnologe; Forschungsreisender; Klassischer Philologe; Arzt,Museum für Völkerkunde Berlin; Linden-Museum Stuttgart; Kaiserlich Leopoldinisch-Carolinische Deutsche Akademie der Naturforscher,https://lobid.org/gnd/117251992
steinen-karl,"Steinen, Karl",1888,1888,2,0.75,121286517,"Steinen, Carl von den",1824.0,,False,Arzt,,https://lobid.org/gnd/121286517
stephan-heinrich-von,"Stephan, Heinrich von",1886,1886,1,0.65,118798715,"Stephan, Heinrich von",1831.0,1897.0,False,,,https://lobid.org/gnd/118798715
stephan-heinrich-von,"Stephan, Heinrich von",1886,1886,2,0.65,1082242446,"Stephan, Heinrich von",1858.0,1912.0,False,Schulleiter,,https://lobid.org/gnd/1082242446
stephan-heinrich-von,"Stephan, Heinrich von",1886,1886,3,0.65,1329914961,"Stephan, Heinrich Carl",1819.0,1890.0,False,Inspizient; Opernsänger; Chorsänger,,https://lobid.org/gnd/1329914961
strehlke-friedrich,"Strehlke, Friedrich",1850,1850,1,0.75,12116828X,"Strehlke, Friedrich",1825.0,1896.0,False,Pädagoge; Schulleiter; Literaturwissenschaftler,,https://lobid.org/gnd/12116828X
strehlke-friedrich,"Strehlke, Friedrich",1850,1850,2,0.75,117313300,"Strehlke, Friedrich",1797.0,1886.0,False,Naturwissenschaftler,,https://lobid.org/gnd/117313300
boehm-richard,"Boehm, Richard",1879,1879,1,0.75,116220589,"Boehm, Richard",1854.0,1884.0,False,Forschungsreisender; Zoologe; Anatom,,https://lobid.org/gnd/116220589
boehm-richard,"Boehm, Richard",1879,1879,2,0.67,1036985970,"Böhm, Richard",1864.0,,False,Pädagoge; Oberlehrer; Naturwissenschaftler; Mathematiker,,https://lobid.org/gnd/1036985970
boehm-richard,"Boehm, Richard",1879,1879,3,0.65,1081402059,"Boehm, Richard",1852.0,,False,,,https://lobid.org/gnd/1081402059
bertrand-louis,"Bertrand, Louis",1755,1755,1,0.75,118658603,"Bertrand, Louis",1731.0,1812.0,False,Mathematiker; Selbstverleger,,https://lobid.org/gnd/118658603
bertrand-louis,"Bertrand, Louis",1755,1755,2,0.65,1037624831,"Bertrand, Louis",1713.0,1779.0,False,Buchdrucker; Drucker; Buchhändler,,https://lobid.org/gnd/1037624831
solbrig-david,"Solbrig, David",1723,1723,1,0.65,141112484,"Solbrig, David",1658.0,1730.0,False,Pfarrer; Superintendent,Königlich Preußische Sozietät der Wissenschaften,https://lobid.org/gnd/141112484
hansemann-gustav,"Hansemann, Gustav",1877,1877,1,0.65,101882173,"Hansemann, Gustav",1829.0,1902.0,False,Unternehmer,,https://lobid.org/gnd/101882173
jordan-heinrich,"Jordan, Heinrich",1867,1867,1,0.75,117182486,"Jordan, Heinrich",1833.0,1886.0,False,Klassischer Philologe; Historiker; Hochschullehrer,,https://lobid.org/gnd/117182486
jordan-heinrich,"Jordan, Heinrich",1867,1867,2,0.75,140055584,"Jordan, Hendrich",1841.0,1910.0,False,Lehrer; Kantor; Übersetzer; Volkskundler,Maćica Serbska,https://lobid.org/gnd/140055584
jordan-heinrich,"Jordan, Heinrich",1867,1867,3,0.65,1067931953,"Jordan, Theodor",1821.0,1890.0,False,,,https://lobid.org/gnd/1067931953
joseph-max,"Joseph, Max",1888,1888,1,0.75,124531849,"Joseph, Max",1860.0,1932.0,False,Arzt; Hautarzt,,https://lobid.org/gnd/124531849
joseph-max,"Joseph, Max",1888,1888,2,0.65,1164105744,"Yosef, Maḳs",1868.0,1950.0,False,Rabbiner,,https://lobid.org/gnd/1164105744
stein-ludwig,"Stein, Ludwig",1888,1888,1,0.75,117243469,"Stein, Ludwig",1868.0,1934.0,False,Schriftsteller; Dramatiker,,https://lobid.org/gnd/117243469
stein-ludwig,"Stein, Ludwig",1888,1888,2,0.75,1036151344,"Stein, Ludwig",1864.0,1942.0,False,Arzt; Internist; Neurologe,,https://lobid.org/gnd/1036151344
stein-ludwig,"Stein, Ludwig",1888,1888,3,0.75,117243426,"Stein, Ludwig",1859.0,1930.0,False,Philosoph; Rabbiner; Publizist,Eidgenössisches Polytechnicum; Universität Bern; Universität Zürich,https://lobid.org/gnd/117243426
stadelmann-hermann,"Stadelmann, Hermann",1895,1895,1,0.75,1209641488,"Stadelmann, Hermann",1862.0,,False,Zoologe,,https://lobid.org/gnd/1209641488
stadelmann-hermann,"Stadelmann, Hermann",1895,1895,2,0.65,1370630875,"Stadelmann, Hermann",1867.0,,False,,,https://lobid.org/gnd/1370630875
velsen-arthur-von,"Velsen, Arthur von",1856,1856,1,0.65,104286288,"Velsen, Arthur von",1826.0,,False,,,https://lobid.org/gnd/104286288
villari-emilio,"Villari, Emilio",1865,1865,1,0.55,1056175869,"Villarino, Emilio",,,False,,,https://lobid.org/gnd/1056175869
jaffe-benno,"Jaffé, Benno",1864,1864,1,0.65,1065464541,"Jaffé, Benno",1840.0,,False,,,https://lobid.org/gnd/1065464541
tonnies-friedrich-wilhelm,"Tönnies, Friedrich Wilhelm",1819,1819,1,0.65,123076269,"Tönnies, Friedrich Wilhelm",1796.0,1817.0,False,,,https://lobid.org/gnd/123076269
huth-georg,"Huth, Georg",1895,1895,1,0.75,117073563,"Huth, Georg",1867.0,1906.0,False,Philologe; Tibetologe; Mongolist; Indologe,Museum für Völkerkunde Berlin,https://lobid.org/gnd/117073563
huth-georg,"Huth, Georg",1895,1895,2,0.65,1037902440,"Huth, Georg",1858.0,,False,Pädagoge; Oberlehrer; Gymnasiallehrer,,https://lobid.org/gnd/1037902440
huth-georg,"Huth, Georg",1895,1895,3,0.57,1026035708,"Huth, Theodor",1821.0,1896.0,False,Maler; Landschaftsmaler; Fotograf,,https://lobid.org/gnd/1026035708
hartmann-johannes,"Hartmann, Johannes",1898,1898,1,0.825,11649848X,"Hartmann, J.",1865.0,1936.0,False,Astronom,Kaiserlich Leopoldinisch-Carolinische Deutsche Akademie der Naturforscher; Universidad Nacional de La Plata. Observatorio Astronómico; Sternwarte Göttingen,https://lobid.org/gnd/11649848X
hartmann-johannes,"Hartmann, Johannes",1898,1898,2,0.75,1355499577,"Hartmann, Johannes",1878.0,,False,Arzt,,https://lobid.org/gnd/1355499577
hartmann-johannes,"Hartmann, Johannes",1898,1898,3,0.75,1029421803,"Hartmann, Johann Philipp",1829.0,,False,Jurist; Theologe,,https://lobid.org/gnd/1029421803
heder-johann-elias,"Heder, Johann Elias",1727,1727,1,0.65,1014286697,"Heder, Johann Elias",1674.0,1722.0,False,Prediger,,https://lobid.org/gnd/1014286697
bergemann-karl,"Bergemann, Karl",1851,1851,1,0.825,117586994,"Bergemann, Karl Wilhelm",1804.0,1884.0,False,Chemiker,Kaiserlich Leopoldinisch-Carolinische Deutsche Akademie der Naturforscher,https://lobid.org/gnd/117586994
bergemann-karl,"Bergemann, Karl",1851,1851,2,0.75,1052890342,"Bergemann, Carolus",1803.0,,False,Chemiker,,https://lobid.org/gnd/1052890342
batigne,Batigne,1772,1772,1,0.645,102642761,"Batigne, Paul",,1773.0,False,Arzt,Kaiserlich Leopoldinisch-Carolinische Deutsche Akademie der Naturforscher,https://lobid.org/gnd/102642761
batigne,Batigne,1772,1772,2,0.57,117768561,"Beatigné, Paul",,1773.0,False,Arzt,,https://lobid.org/gnd/117768561
batigne,Batigne,1772,1772,3,0.171,134779215,"Batigne, Jean",1933.0,2015.0,False,Musiker; Schlagzeuger,,https://lobid.org/gnd/134779215
vockerodt-johann-gotthilf,"Vockerodt, Johann Gotthilf",1758,1758,1,0.65,13310429X,"Vockerodt, Johann Gotthilf",1693.0,1757.0,False,Diplomat; Geheimer Rat,,https://lobid.org/gnd/13310429X
bekker-ernst-immanuel,"Bekker, Ernst Immanuel",1898,1898,1,0.67,118655027,"Bekker, Ernst Immanuel",1827.0,1916.0,False,Jurist; Hochschullehrer,Universität Heidelberg; Ernst-Moritz-Arndt-Universität Greifswald,https://lobid.org/gnd/118655027
hincks-edward,"Hincks, Edward",1866,1866,1,0.67,117525073,"Hincks, Edward",1792.0,1866.0,False,Philologe,,https://lobid.org/gnd/117525073
baltzer-richard,"Baltzer, Richard",1861,1861,1,0.75,116046694,"Baltzer, Richard",1818.0,1887.0,False,Mathematiker; Hochschullehrer,Justus-Liebig-Universität Gießen,https://lobid.org/gnd/116046694
baltzer-richard,"Baltzer, Richard",1861,1861,2,0.745,117561940,"Baltzer, Armin",1842.0,1913.0,False,Geologe; Mineraloge,Kaiserlich Leopoldinisch-Carolinische Deutsche Akademie der Naturforscher; Kantonsschule Zürich; Universität Bern,https://lobid.org/gnd/117561940
wetzstein-johann-gottfried,"Wetzstein, Johann Gottfried",1864,1864,1,0.65,118897845,"Wetzstein, Johann Gottfried",1815.0,1905.0,False,Orientalist; Konsul; Diplomat; Forschungsreisender,Humboldt-Universität zu Berlin,https://lobid.org/gnd/118897845
francheville-de,"Francheville, de",1784,1784,1,0.565,10428496X,"Du Fresne de Francheville, Joseph",1704.0,1781.0,False,Archäologe; Historiker; Übersetzer; Selbstverleger,Kaiserlich Leopoldinisch-Carolinische Deutsche Akademie der Naturforscher,https://lobid.org/gnd/10428496X
francheville-de,"Francheville, de",1784,1784,2,0.47,104303611,"Du Fresne de Francheville, André",1731.0,1803.0,False,Domkapitular; Pfarrer; Selbstverleger,,https://lobid.org/gnd/104303611
aschoff-hermann,"Aschoff, Hermann",1860,1860,1,0.65,122077765X,"Aschoff, Hermann",,,False,Chemiker,,https://lobid.org/gnd/122077765X
aschoff-hermann,"Aschoff, Hermann",1860,1860,2,0.55,126141541,"Aschoff, Hermann",,,False,,,https://lobid.org/gnd/126141541
aschoff-hermann,"Aschoff, Hermann",1860,1860,3,0.225,1149939699,"Aschoff, Hermann",1878.0,,False,Tierarzt,,https://lobid.org/gnd/1149939699
alton-eduard-d,"Alton, Eduard d'",1833,1833,1,0.825,119061341,"Alton, Eduard d'",1772.0,1840.0,False,Anatom; Archäologe; Kupferstecher; Radierer,Kaiserlich Leopoldinisch-Carolinische Deutsche Akademie der Naturforscher,https://lobid.org/gnd/119061341
alton-eduard-d,"Alton, Eduard d'",1833,1833,2,0.825,116295546,"Alton, Eduard d'",1803.0,1854.0,False,Anatom; Arzt; Zoologe,Kaiserlich Leopoldinisch-Carolinische Deutsche Akademie der Naturforscher,https://lobid.org/gnd/116295546
argenson-marc-antoine-rene-de-voyer-de-paulmy-marquis-d,"Argenson, Marc Antoine René de Voyer de Paulmy Marquis d'",1748,1748,1,0.75,118796380,"Argenson, René Louis de Voyer d'",1694.0,1757.0,False,Politiker; Minister; Philosoph,,https://lobid.org/gnd/118796380
argenson-marc-antoine-rene-de-voyer-de-paulmy-marquis-d,"Argenson, Marc Antoine René de Voyer de Paulmy Marquis d'",1748,1748,2,0.725,12068859X,"Argenson, Marc Antoine René de Voyer de Paulmy d'",1722.0,1787.0,False,Bibliograf; Minister; Diplomat; Bibliophiler,Académie Française,https://lobid.org/gnd/12068859X
