autor_key,autor,jahr_von,jahr_bis,rang,score,gnd,gnd_name,geburt,tod,akademiemitglied,berufe,affiliation,lobid
albrecht-paul,"Albrecht, Paul",1885,1886,3,0.75,130847577,"Albrecht, Paul",1863.0,,False,Schriftsteller; Eisenbahner,,https://lobid.org/gnd/130847577
wolff-julius,"Wolff, Julius",1884,1884,1,0.825,117441295,"Wolff, Julius",1836.0,1902.0,False,Chirurg; Arzt,Kaiserlich Leopoldinisch-Carolinische Deutsche Akademie der Naturforscher,https://lobid.org/gnd/117441295
wolff-julius,"Wolff, Julius",1884,1884,2,0.75,121830780,"Wolff, Julius",1816.0,,False,Arzt,,https://lobid.org/gnd/121830780
wolff-julius,"Wolff, Julius",1884,1884,3,0.75,1055226303,"Wolff, Julius",1858.0,,False,Jurist,,https://lobid.org/gnd/1055226303
wolf-rudolf,"Wolf, Rudolf",1852,1852,1,0.75,119160358,"Wolf, Rudolf",1816.0,1893.0,False,Astronom; Mathematiker; Historiker; Hochschullehrer,Eidgenössische Sternwarte (Zürich); Naturforschende Gesellschaft in Zürich; Eidgenössisches Polytechnicum,https://lobid.org/gnd/119160358
wolf-rudolf,"Wolf, Rudolf",1852,1852,2,0.65,1107070996,"Wolf, Rudolf",1831.0,1910.0,False,Konstrukteur; Unternehmer,,https://lobid.org/gnd/1107070996
wolf-rudolf,"Wolf, Rudolf",1852,1852,3,0.225,1058149377,"Volf, Rudolf",1838.0,1926.0,False,Theologe; Pfarrer,,https://lobid.org/gnd/1058149377
henning-karl-andreas,"Henning, Karl Andreas",1727,1727,1,0.65,144037998,"Hennings, Karl Andreas",1693.0,1729.0,False,Gymnasiallehrer,Berlinisches Gymnasium Zum Grauen Kloster,https://lobid.org/gnd/144037998
hertel-christian-gottlieb,"Hertel, Christian Gottlieb",1727,1727,1,0.75,131807471,"Hertel, Christian Gottlieb",1683.0,1743.0,False,Mathematiker,,https://lobid.org/gnd/131807471
hertel-christian-gottlieb,"Hertel, Christian Gottlieb",1727,1727,2,0.75,123913217,"Härtel, Christian Gottlieb",1679.0,,False,Jurist,,https://lobid.org/gnd/123913217
wentzel-georg,"Wentzel, Georg",1895,1895,1,0.75,1032150599,"Wentzel, Georg",1869.0,,False,Arzt,,https://lobid.org/gnd/1032150599
wentzel-georg,"Wentzel, Georg",1895,1895,2,0.75,117293938,"Wentzel, Georg",1862.0,1919.0,False,Klassischer Philologe,,https://lobid.org/gnd/117293938
maurer-julius,"Maurer, Julius",1887,1887,1,0.75,11685572X,"Maurer, Julius",1857.0,1938.0,False,Meteorologe; Astronom,Schweizerische Meteorologische Zentralanstalt,https://lobid.org/gnd/11685572X
maurer-julius,"Maurer, Julius",1887,1887,2,0.65,1050969111,"Maurer, Julius",1855.0,1922.0,False,Maler; Tiermaler,,https://lobid.org/gnd/1050969111
maurice-frederic-baron,"Maurice, Frédéric Baron",1804,1804,1,0.75,1052753523,"Maurice, Frédéric-Guillaume",1750.0,1826.0,False,Rechtsanwalt; Politiker; Meteorologe; Agrarwissenschaftler,,https://lobid.org/gnd/1052753523
maurice-frederic-baron,"Maurice, Frédéric Baron",1804,1804,2,0.75,117557625,"Maurice, Frédéric de",1775.0,1851.0,False,Mathematiker,,https://lobid.org/gnd/117557625
meissel-ernst,"Meissel, Ernst",1889,1889,1,0.65,116864079,"Meissel, Ernst",1826.0,1895.0,False,,,https://lobid.org/gnd/116864079
melanderhjelm-daniel,"Melanderhjelm, Daniel",1804,1804,1,0.67,116872470,"Melanderhielm, Daniel",1726.0,1810.0,False,Astronom,Uppsala universitet,https://lobid.org/gnd/116872470
fournier-theodor,"Fournier, Theodor",1863,1863,1,0.55,116677821,"Fournier, Theodor",,,False,Lehrer,,https://lobid.org/gnd/116677821
moritz-bernhard,"Moritz, Bernhard",1890,1890,1,0.65,116929251,"Moritz, Bernhard",1859.0,1939.0,False,Orientalist; Arabist,,https://lobid.org/gnd/116929251
morsch-hermann,"Morsch, Hermann",1851,1851,1,0.65,1398707910,"Morsch, Julius Hermann",1809.0,1869.0,False,,,https://lobid.org/gnd/1398707910
morsch-hermann,"Morsch, Hermann",1851,1851,2,0.55,117088765,"Moersch, Hermann",,,False,,,https://lobid.org/gnd/117088765
morsch-hermann,"Morsch, Hermann",1851,1851,3,0.144,1062311043,"Wetzke, Eva",1924.0,,False,Fernsehredakteurin; Theaterwissenschaftlerin; Schauspielerin,,https://lobid.org/gnd/1062311043
meyer-wilhelm,"Meyer, Wilhelm",1890,1890,1,0.825,117556696,"Meyer, Wilhelm Franz",1856.0,1934.0,False,Mathematiker,Kaiserlich Leopoldinisch-Carolinische Deutsche Akademie der Naturforscher,https://lobid.org/gnd/117556696
meyer-wilhelm,"Meyer, Wilhelm",1890,1890,2,0.75,1255159227,"Meyer, Wilhelm",1868.0,,False,Arzt,,https://lobid.org/gnd/1255159227
meyer-wilhelm,"Meyer, Wilhelm",1890,1890,3,0.75,1273287959,"Meyer, Wilhelm",1844.0,1944.0,False,Grafiker,,https://lobid.org/gnd/1273287959
frenzel-johannes,"Frenzel, Johannes",1883,1883,1,0.65,1055413782,"Frenzel, Johannes",1858.0,1897.0,False,,,https://lobid.org/gnd/1055413782
frenzel-johannes,"Frenzel, Johannes",1883,1883,2,0.65,120033534,"Frenzel, Johann",1817.0,,False,,,https://lobid.org/gnd/120033534
frey-karl,"Frey, Karl",1883,1883,1,0.75,1012264459,"Frey, Karl",1818.0,1895.0,False,Politiker,,https://lobid.org/gnd/1012264459
frey-karl,"Frey, Karl",1883,1883,2,0.75,116784024,"Frey, Karl",1857.0,1917.0,False,Kunsthistoriker; Hochschullehrer,,https://lobid.org/gnd/116784024
frey-karl,"Frey, Karl",1883,1883,3,0.75,141593687,"Frey, Carl von",1826.0,1896.0,False,Kaufmann; Musiker; Maler; Kunstsammler,,https://lobid.org/gnd/141593687
ferber-johann-jakob,"Ferber, Johann Jakob",1796,1796,1,0.247,118686690,"Ferber, Johann Jacob",1743.0,1790.0,False,Physiker; Mineraloge,Kaiserlich Leopoldinisch-Carolinische Deutsche Akademie der Naturforscher; Academia Petrina (Mitau),https://lobid.org/gnd/118686690
moricke-wilhelm,"Möricke, Wilhelm",1896,1896,1,0.225,138395616,"Möricke, Wilhelm",1891.0,1897.0,False,Paläontologe; Geologe,,https://lobid.org/gnd/138395616
moricke-wilhelm,"Möricke, Wilhelm",1896,1896,2,0.225,1397451394,"Möricke, Carl Friedrich Wilhelm",1770.0,1859.0,False,Apotheker,,https://lobid.org/gnd/1397451394
moricke-wilhelm,"Möricke, Wilhelm",1896,1896,3,0.118,1012719170,"Möricke, Carl Abraham",1806.0,1874.0,False,Apotheker; Arzt,,https://lobid.org/gnd/1012719170
curtius-karl,"Curtius, Karl",1876,1876,1,0.75,116766859,"Curtius, Carl",1841.0,1921.0,False,Bibliothekar; Gymnasiallehrer; Oberlehrer; Klassischer Philologe,,https://lobid.org/gnd/116766859
curtius-karl,"Curtius, Karl",1876,1876,2,0.75,11676662X,"Curtius, Friedrich",1851.0,1933.0,False,Jurist; Theologe,,https://lobid.org/gnd/11676662X
curtius-karl,"Curtius, Karl",1876,1876,3,0.225,116766824,"Curtius, Karl",1863.0,1934.0,False,Verleger; Jurist,Karl Curtius (Firma); Williams & Norgate,https://lobid.org/gnd/116766824
naude-philipp-der-altere,"Naudé, Philipp der ältere",1727,1727,1,1.0,138677123,"Naudé, Philipp",1684.0,1745.0,True,Mathematiker,,https://lobid.org/gnd/138677123
naude-philipp-der-altere,"Naudé, Philipp der ältere",1727,1727,2,0.92,129964026,"Naudé, Philippe",1654.0,1729.0,True,Mathematiker,,https://lobid.org/gnd/129964026
nichols-ernest-fox,"Nichols, Ernest Fox",1896,1896,1,0.65,1055470360,"Nichols, Ernest Fox",1869.0,1924.0,False,,,https://lobid.org/gnd/1055470360
erdmann-oskar,"Erdmann, Oskar",1880,1880,1,0.65,116531045,"Erdmann, Oskar",1846.0,1895.0,False,Germanist; Lehrer,Universität Breslau; Königliches König-Wilhelms-Gymnasium; Christian-Albrechts-Universität zu Kiel,https://lobid.org/gnd/116531045
marshall-william,"Marshall, William",1884,1884,1,0.825,116792965,"Marshall, William",1845.0,1907.0,False,Biologe; Zoologe; Übersetzer,Kaiserlich Leopoldinisch-Carolinische Deutsche Akademie der Naturforscher,https://lobid.org/gnd/116792965
marshall-william,"Marshall, William",1884,1884,2,0.75,1196630321,"Marshall, William Rainey",1825.0,1896.0,False,Gouverneur; Politiker; Brigadegeneral,Republican Party (USA),https://lobid.org/gnd/1196630321
marshall-william,"Marshall, William",1884,1884,3,0.67,143706543,"Marshall, William Stanley",1866.0,1947.0,False,Biologe; Zoologe; Botaniker,,https://lobid.org/gnd/143706543
liebig-georg-freiherr-von,"Liebig, Georg Freiherr von",1850,1850,1,0.75,116996889,"Liebig, Georg von",1827.0,1903.0,False,Arzt,,https://lobid.org/gnd/116996889
liebig-georg-freiherr-von,"Liebig, Georg Freiherr von",1850,1850,2,0.75,1104279193,"Liebig, Georg Karl",1818.0,1870.0,False,Apotheker,,https://lobid.org/gnd/1104279193
lohmann-friedrich,"Lohmann, Friedrich",1898,1898,1,0.75,132748851,"Lohmann, Friedrich Wilhelm",1875.0,1952.0,False,Historiker; Pfarrer; Archivar; Katholischer Theologe,,https://lobid.org/gnd/132748851
lohmann-friedrich,"Lohmann, Friedrich",1898,1898,2,0.75,104102357,"Lohmann, Friedrich",1869.0,1956.0,False,Syndikusanwalt; Wirtschaftshistoriker,,https://lobid.org/gnd/104102357
lohmann-friedrich,"Lohmann, Friedrich",1898,1898,3,0.65,1281783188,"Lohmann, Friedrich",1876.0,,False,,,https://lobid.org/gnd/1281783188
landauer-samuel,"Landauer, Samuel",1884,1884,1,0.65,116671920,"Landauer, Samuel",1846.0,1937.0,False,Orientalist,,https://lobid.org/gnd/116671920
futterer-karl,"Futterer, Karl",1893,1893,1,0.75,116879211,"Futterer, Karl",1866.0,1906.0,False,Geologe; Mineraloge; Hochschullehrer; Forschungsreisender,Museum für Naturkunde Berlin; Technische Hochschule Karlsruhe; Friedrich-Wilhelms-Universität Berlin,https://lobid.org/gnd/116879211
futterer-karl,"Futterer, Karl",1893,1893,2,0.65,118694367,"Futterer, Carl",1873.0,1927.0,False,Komponist; Komponist; Lehrer,,https://lobid.org/gnd/118694367
ribbach-johann-ernst,"Ribbach, Johann Ernst",1793,1793,1,0.65,1012023907,"Ribbach, Johann Ernst",1729.0,1795.0,False,Pfarrer,,https://lobid.org/gnd/1012023907
cohn-leopold,"Cohn, Leopold",1891,1891,1,0.75,128190043,"Cohn, Leopold",1856.0,1915.0,False,Klassischer Philologe; Bibliothekar,,https://lobid.org/gnd/128190043
cohn-leopold,"Cohn, Leopold",1891,1891,2,0.65,116650230,"Connard, Leo",1860.0,1931.0,False,Schauspieler; Regisseur,,https://lobid.org/gnd/116650230
cohnstein-wilhelm,"Cohnstein, Wilhelm",1896,1896,1,0.195,1052728235,"Cohnstein, Wilhelm Berkan",1799.0,,False,,,https://lobid.org/gnd/1052728235
cuper-gisbert,"Cuper, Gisbert",1723,1723,1,0.201,100096093,"Cuper, Gisbert",1644.0,1716.0,False,Altertumswissenschaftler; Historiker; Politiker,,https://lobid.org/gnd/100096093
gelzer-heinrich,"Gelzer, Heinrich",1872,1872,1,0.75,104123966,"Gelzer, Heinrich",1847.0,1906.0,False,Klassischer Philologe; Historiker; Byzantinist; Hochschullehrer,,https://lobid.org/gnd/104123966
gelzer-heinrich,"Gelzer, Heinrich",1872,1872,2,0.75,118716751,"Gelzer, Johann Heinrich",1813.0,1889.0,False,Theologe; Historiker; Hochschullehrer; Politiker,,https://lobid.org/gnd/118716751
langberg-christian,"Langberg, Christian",1845,1845,1,0.195,125047215,"Langberg, Christian Bjelland",1916.0,,False,,,https://lobid.org/gnd/125047215
langberg-christian,"Langberg, Christian",1845,1845,2,0.166,100811698,"Longomontanus, Christen Sørensen",1562.0,1647.0,False,Mathematiker; Astronom,,https://lobid.org/gnd/100811698
burg-otto,"Burg, Otto",1864,1864,1,0.55,1061779882,"Burg, Otto",,,False,Regisseur,,https://lobid.org/gnd/1061779882
burg-otto,"Burg, Otto",1864,1864,2,0.55,126169365,"Bürgi, Otto",,,False,,,https://lobid.org/gnd/126169365
burg-otto,"Burg, Otto",1864,1864,3,0.168,117433233,"Wollenberg, Otto",1898.0,1973.0,False,Journalist; Funktionär,Sozialdemokratische Partei Deutschlands; Kommunistische Partei Deutschlands (Deutsches Reich),https://lobid.org/gnd/117433233
reiche-karl,"Reiche, Karl",1895,1895,1,0.75,116397845,"Reiche, Karl",1860.0,1929.0,False,Botaniker; Reisender,,https://lobid.org/gnd/116397845
